Frame,Chamber_1,Chamber_2,Chamber_3
0,47.57645361298292,1.0,1.0
1,47.57645361298292,1.0,1.0
2,47.57645361298292,1.0,1.0
3,47.57645361298292,1.0,1.0
4,47.57645361298292,1.0,1.0
5,47.57645361298292,1.0,1.0
6,47.57645361298292,1.0,1.0
7,47.57645361298292,1.0,1.0
8,47.57645361298292,1.0,1.0
9,47.57645361298292,1.0,1.0
10,18.221795567982575,1.0,1.0
11,18.221795567982575,1.0,1.0
12,18.221795567982575,1.0,1.0
13,18.221795567982575,1.0,1.0
14,18.221795567982575,1.0,1.0
15,18.221795567982575,1.0,1.0
16,18.221795567982575,1.0,1.0
17,18.221795567982575,1.0,1.0
18,18.221795567982575,1.0,1.0
19,18.221795567982575,1.0,1.0
20,73.50224673356155,1.0,1.0
21,73.50224673356155,1.0,1.0
22,73.50224673356155,1.0,1.0
23,73.50224673356155,1.0,1.0
24,73.50224673356155,1.0,1.0
25,73.50224673356155,1.0,1.0
26,73.50224673356155,1.0,1.0
27,73.50224673356155,1.0,1.0
28,73.50224673356155,1.0,1.0
29,73.50224673356155,1.0,1.0
30,84.34343068960611,1.0,1.0
31,84.34343068960611,1.0,1.0
32,84.34343068960611,1.0,1.0
33,84.34343068960611,1.0,1.0
34,84.34343068960611,1.0,1.0
35,84.34343068960611,1.0,1.0
36,84.34343068960611,1.0,1.0
37,84.34343068960611,1.0,1.0
38,84.34343068960611,1.0,1.0
39,84.34343068960611,1.0,1.0
40,36.44218988350094,1.0,1.0
41,36.44218988350094,1.0,1.0
42,36.44218988350094,1.0,1.0
43,36.44218988350094,1.0,1.0
44,36.44218988350094,1.0,1.0
45,36.44218988350094,1.0,1.0
46,36.44218988350094,1.0,1.0
47,36.44218988350094,1.0,1.0
48,36.44218988350094,1.0,1.0
49,36.44218988350094,1.0,1.0
50,75.6750567887492,1.0,1.0
51,75.6750567887492,1.0,1.0
52,75.6750567887492,1.0,1.0
53,75.6750567887492,1.0,1.0
54,75.6750567887492,1.0,1.0
55,75.6750567887492,1.0,1.0
56,75.6750567887492,1.0,1.0
57,75.6750567887492,1.0,1.0
58,75.6750567887492,1.0,1.0
59,75.6750567887492,1.0,1.0
