Frame,Chamber_1,Chamber_2,Chamber_3
0,72.83022286458068,1.0,1.0
1,72.83022286458068,1.0,1.0
2,72.83022286458068,1.0,1.0
3,72.83022286458068,1.0,1.0
4,72.83022286458068,1.0,1.0
5,72.83022286458068,1.0,1.0
6,72.83022286458068,1.0,1.0
7,72.83022286458068,1.0,1.0
8,72.83022286458068,1.0,1.0
9,72.83022286458068,1.0,1.0
10,70.60453415529085,1.0,1.0
11,70.60453415529085,1.0,1.0
12,70.60453415529085,1.0,1.0
13,70.60453415529085,1.0,1.0
14,70.60453415529085,1.0,1.0
15,70.60453415529085,1.0,1.0
16,70.60453415529085,1.0,1.0
17,70.60453415529085,1.0,1.0
18,70.60453415529085,1.0,1.0
19,70.60453415529085,1.0,1.0
20,35.05014610201573,1.0,1.0
21,35.05014610201573,1.0,1.0
22,35.05014610201573,1.0,1.0
23,35.05014610201573,1.0,1.0
24,35.05014610201573,1.0,1.0
25,35.05014610201573,1.0,1.0
26,35.05014610201573,1.0,1.0
27,35.05014610201573,1.0,1.0
28,35.05014610201573,1.0,1.0
29,35.05014610201573,1.0,1.0
30,11.655939247968904,1.0,1.0
31,11.655939247968904,1.0,1.0
32,11.655939247968904,1.0,1.0
33,11.655939247968904,1.0,1.0
34,11.655939247968904,1.0,1.0
35,11.655939247968904,1.0,1.0
36,11.655939247968904,1.0,1.0
37,11.655939247968904,1.0,1.0
38,11.655939247968904,1.0,1.0
39,11.655939247968904,1.0,1.0
40,24.823977744279222,1.0,1.0
41,24.823977744279222,1.0,1.0
42,24.823977744279222,1.0,1.0
43,24.823977744279222,1.0,1.0
44,24.823977744279222,1.0,1.0
45,24.823977744279222,1.0,1.0
46,24.823977744279222,1.0,1.0
47,24.823977744279222,1.0,1.0
48,24.823977744279222,1.0,1.0
49,24.823977744279222,1.0,1.0
50,80.794462378605,1.0,1.0
51,80.794462378605,1.0,1.0
52,80.794462378605,1.0,1.0
53,80.794462378605,1.0,1.0
54,80.794462378605,1.0,1.0
55,80.794462378605,1.0,1.0
56,80.794462378605,1.0,1.0
57,80.794462378605,1.0,1.0
58,80.794462378605,1.0,1.0
59,80.794462378605,1.0,1.0
